/ http://dndtools.eu/feats/

.Feat; Description
Draconic Bloodline; You are descended from a dragon. The dragon bloodline is strong in both physical power and magic. Your characteristics might vary with the type of dragon from which you are descended, but you share some traits with others of draconic blood. Like your majestic reptilian ancestor, you are proud and of noble bearing, and you might even share its coloration in some way.
Draconic Breath; You can convert some of your arcane spell energy into a breath weapon.
Draconic Breath; You can convert your arcane spells into a breath weapon.
Draconic Claw; You develop natural weapons like those of your draconic ancestors.
Draconic Claw; You develop the natural weapons of your draconic ancestors.
Draconic Flight; The secret of draconic fl ight has been revealed to you, granting you the ability to fl y occasionally.
Draconic Flight; The secret of draconic fl ight is revealed to you, granting you the ability to fly occasionally.
Draconic Heritage; You have a greater connection with your draconic bloodline than others of your kind.
Draconic Heritage; You have greater connection with your distant draconic bloodline.
Draconic Knowledge; You are attuned to nature and the elements and can draw on deep wells of knowledge.
Draconic Knowledge; Your draconic blood lets you access ancient draconic knowledge.
Draconic Legacy; You have realized greater arcane power through your draconic heritage.
Draconic Persuasion; Your arcane talents lend you a great deal of allure.
Draconic Power; You have greater power manipulating the energies of your heritage.
Draconic Power; You have greater power when manipulating the energies of your heritage.
Draconic Presence; When you use your magic, your mere presence can terrify those around you.
Draconic Resistance; Your bloodline hardens your body against effects related to the nature of your progenitor.
Draconic Resistance; Your bloodline hardens your body against the energy type of your progenitor.
Draconic Senses ; Your draconic blood grams you great sensory powers.
Draconic Skin; Your skin takes on a sheen, luster, and hardness related to your draconic ancestor.
Draconic Skin; Your skin takes on the sheen, luster, and hardness of your draconic parentage.
Draconic Toughness; Your draconic nature reinforces your body as you embrace your heritage.
Draconic Vigor ; You gain some of the vitality of your draconic ancestry when casting spells.
Dragon Breath; You can use your breath weapon as often as a normal dragon.
Dragon Cohort; You gain the service of a loyal dragon ally.
Dragon Familiar; When you are able to acquire a new familiar, you may select a wyrmling dragon as a familiar.
Dragon Hunter Bravery; You resist dragons' frightful presence, and your mere presence helps others resist as well.
Dragon Hunter Defense; Your insight into the tactics and abilities of dragons grants you awareness of how best to avoid their magical attacks.
Dragon Hunter; You have made a special study of dragons and know how to defend against a dragon's attacks.
Dragon Prophesier; The sky above, the pits and caverns below, and the land between contain signs and portents for those with the skill to see them. The dragons of Argonnessen seek meaning in the patterns they observe all around them, looking for omens of the draconic Prophecy. Like the dragons, you seek to untangle and perceive the record of everything that has been, and more important, what will be. The world is the record, and you are the perennial student. This openness to knowledge infuses you with additional foresight--you have prophetic favor.
Dragon Rage; You call upon the power of your dragon totem to enhance your barbarian rage.
Dragon Sight; You have a dragon's affinity for magic and can see magical auras. When you use this ability, your eyes glow with inner light.
Dragon Steed; You have earned the service of a loyal draconic steed.
Dragon Tail; Your draconic ancestry manifests as a muscular tail you can use in combat.
Dragon Totem Focus; Your focus allows you to enjoy the benefi t of a dragon totem ritual longer than normal.
Dragon Totem Lorekeeper; You have been instructed in how to perform the rituals of dragon totem magic.
Dragon Totem Scion; You are naturally attuned to the magic of the dragon totem ritual.
Dragon Totem; As a proud warrior of the barbarian tribes of Argonnessen and Seren, you have claimed one of the true dragon types as your totem--a patron, protector, and source of strength.
