/ http://dndtools.eu/spells/

.Spell; School; Verbal; Somatic; Material; Arcane; Divine; XP; Rulebook; Edition
 
Abate Dracorage; Abjuration; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Earthbind; Transmutation; yes; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Earthbolt; Evocation; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Earthbolt; Evocation; yes; yes; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Earthen Grace; Abjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Earthen Grasp; Transmutation; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Earthen Grasp; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Earthen Shield; Conjuration; yes; yes; no; no; no; no; Dragonlance Campaign Setting; Dragonlance (3.5); 
Earthfast; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Earthfast; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Earthquake; Evocation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Earthstrike Quake; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Ease of Breath; Necromancy; yes; yes; no; no; yes; no; Frostburn; Supplementals (3.5); 
Ease Pain; Conjuration; no; yes; no; no; yes; no; Book of Exalted Deeds; Supplementals (3.5); 
Easy Climb; Transmutation; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Easy Climb; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Easy Climb; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Easy Math; Transmutation; yes; yes; no; no; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Easy Trail; Abjuration; yes; yes; no; no; no; no; Shining South; Forgotten Realms (3.5); 
Easy Trail; Abjuration; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Easy Trail; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Easy Trail; Abjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Ebon Eyes; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Ebon Ray of Doom; Necromancy; yes; yes; no; no; no; no; Lost Empires of Faerûn; Forgotten Realms (3.5); 
Echo Skull; Divination; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Echo Skull; Divination; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Ectoplasmic Armor; Abjuration; yes; no; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Ectoplasmic Armor; Abjuration; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Ectoplasmic Decay; Necromancy; yes; yes; yes; no; no; no; Ghostwalk; Supplementals (3.0); 
Ectoplasmic Enhancement; Necromancy; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Ectoplasmic Feedback; Abjuration; yes; yes; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Ectoplasmic Feedback; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Ectoplasmic Web; Conjuration; yes; yes; yes; no; no; no; Ghostwalk; Supplementals (3.0); 
Effulgent Epuration; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Eilistraee's Moonfire; Evocation; yes; yes; no; no; no; no; Champions of Valor; Forgotten Realms (3.5); 
Eladrin Form; Transmutation; yes; no; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Elation; Enchantment; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Elder Glyph of Warding; Abjuration; no; no; no; no; no; no; Lords of Madness; Supplementals (3.5); 
Elder Mountain Hammer; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Electric Jolt; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Electric Jolt; Evocation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Electric Loop; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Electric Orb; Evocation; no; no; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Electric Orb, Lesser; Conjuration; no; no; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Electric Orb, Lesser; Evocation; no; no; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Electric Vengeance; Evocation; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Electric Vengeance, Greater; Evocation; no; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Electrical Storm; Evocation; yes; yes; yes; no; no; no; Dragonlance Campaign Setting; Dragonlance (3.5); 
Elemental Body; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Elemental Body; Transmutation; yes; yes; yes; no; no; no; Manual of the Planes; Supplementals (3.0); 
Elemental Burst; Evocation; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Elemental Burst; Evocation; yes; yes; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Elemental Dart; Conjuration; yes; yes; no; no; no; no; Dragonlance Campaign Setting; Dragonlance (3.5); 
Elemental Eye; Divination; yes; yes; no; yes; no; no; Complete Mage; Supplementals (3.5); 
Elemental Prod; Abjuration; no; yes; no; no; no; no; Magic of Eberron; Eberron (3.5); 
Elemental Swarm; Conjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Elemental Ward; Abjuration; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Elemental Ward; Abjuration; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Elminster's Effulgent Epuration; Abjuration; yes; yes; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Elminster's Effulgent Epuration; Abjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Elminster's Evasion; Evocation; yes; yes; yes; yes; no; yes; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Embrace of Endless Day; Conjuration; yes; yes; no; no; yes; no; Faiths of Eberron; Eberron (3.5); 
Embrace the Dark Chaos; Transmutation; yes; yes; no; no; no; yes; Fiendish Codex I: Hordes of the Abyss; Supplementals (3.5); 
Embrace the Wild; Transmutation; yes; no; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Embrace the Wild; Transmutation; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Embrace the Wild; Transmutation; yes; no; no; yes; no; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Embrace the Wild; Transmutation; yes; no; no; yes; no; no; Savage Species; Supplementals (3.0); 
Emerald Burst; Evocation; yes; yes; yes; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Emerald Flame Fist; Evocation; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Emerald Flame Fist; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Emerald Razor; Diamond Mind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Emotion; Enchantment; yes; yes; no; no; no; no; Player's Handbook 3.0; Core (3.0); 
Empyreal Ecstasy; Abjuration; yes; yes; no; no; yes; no; Book of Exalted Deeds; Supplementals (3.5); 
End to Strife; Enchantment; yes; yes; no; no; yes; no; Book of Exalted Deeds; Supplementals (3.5); 
Endless Slumber; Enchantment; yes; yes; yes; no; no; no; Complete Mage; Supplementals (3.5); 
Endure Elements; Abjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Enduring Flight; Transmutation; yes; no; no; no; no; no; Races of the Wild; Supplementals (3.5); 
Enduring Scrutiny; Divination; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Energetic Healing; Conjuration; yes; yes; no; no; yes; no; Book of Exalted Deeds; Supplementals (3.5); 
Energize Potion; Transmutation; yes; yes; yes; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Energized Shield; Abjuration; no; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Energized Shield, Lesser; Abjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Energy Absorption; Abjuration; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Energy Aegis; Abjuration; yes; no; no; no; yes; no; Player's Handbook II; Supplementals (3.5); 
Energy Alteration; Transmutation; no; yes; yes; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Energy Buffer; Abjuration; yes; yes; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Energy Drain; Necromancy; no; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Energy Ebb; Necromancy; no; no; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Energy Ebb; Necromancy; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Energy Immunity; Abjuration; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Energy Immunity; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Energy Immunity; Abjuration; yes; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Energy Immunity; Abjuration; yes; yes; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Energy Spheres; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Energy Surge; Transmutation; no; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Energy Surge, Greater; Transmutation; no; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Energy Surge, Lesser; Transmutation; yes; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Energy Transformation Field; Transmutation; yes; yes; yes; no; no; yes; Spell Compendium; Supplementals (3.5); 
Energy Transformation Field; Transmutation; yes; yes; yes; no; no; yes; Magic of Faerûn; Forgotten Realms (3.0); 
Energy Vortex; Evocation; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Energy Vortex; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Energy Vulnerability; Abjuration; yes; yes; yes; no; yes; no; Player's Handbook II; Supplementals (3.5); 
Enervating Breath; Necromancy; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Enervating Breath; Necromancy; no; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Enervating Shadow Strike; Shadow Hand; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Enervation; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Engulfing Terror; Conjuration; yes; yes; no; no; no; no; Drow of the Underdark; Supplementals (3.5); 
Enhance Familiar; Universal; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Enhance Familiar; Universal; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Enhance Familiar; Universal; yes; yes; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Enhance Wild Shape; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Enhanced Shifting; Transmutation; yes; no; no; no; no; no; Races of Eberron; Eberron (3.5); 
Enhancement Alteration; Transmutation; no; yes; no; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Enlarge Person; Transmutation; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Enlarge Person, Greater; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Enlarge Person, Mass; Transmutation; no; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Enlarge Weapon; Transmutation; yes; yes; no; no; no; no; Complete Scoundrel; Supplementals (3.5); 
Enrage Animal; Enchantment; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Enrage Animals; Enchantment; yes; yes; no; no; no; no; Champions of Ruin; Forgotten Realms (3.5); 
Ensul's Soultheft; Necromancy; yes; yes; yes; no; no; no; City of Splendors: Waterdeep; Forgotten Realms (3.5); 
Entangle; Transmutation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Entangling Blade; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Entangling Dragonmark; Transmutation; yes; yes; no; no; no; no; Dragonmarked; Eberron (3.5); 
Entangling Scarf; Transmutation; yes; yes; no; yes; no; no; Complete Arcane; Supplementals (3.5); 
Entangling Scarf; Transmutation; yes; yes; no; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Entangling Staff; Transmutation; yes; no; no; yes; no; no; Complete Adventurer; Supplementals (3.5); 
Entangling Staff; Transmutation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Enthrall; Enchantment; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Entice Gift; Enchantment; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Entice Gift; Enchantment; yes; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Entice Gift; Enchantment; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Entomb; Evocation; yes; yes; yes; no; no; no; Frostburn; Supplementals (3.5); 
Entropic Shield; Abjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Entropic Shield, Mass; Abjuration; yes; yes; no; no; no; no; Shining South; Forgotten Realms (3.5); 
Enveloping Cocoon; Evocation; yes; yes; yes; no; no; no; Complete Divine; Supplementals (3.5); 
Enveloping Cocoon; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Epidemic; Necromancy; yes; yes; no; no; no; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Eradicate Earth; Abjuration; yes; yes; yes; no; no; no; Underdark; Forgotten Realms (3.5); 
Eradicate Earth; Abjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Erase; Transmutation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Erupt; Transmutation; yes; yes; no; no; yes; no; Serpent Kingdoms; Forgotten Realms (3.5); 
Escalating Enfeeblement; Necromancy; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Essence of the Dragon; Transmutation; no; yes; yes; no; no; no; Races of the Dragon; Supplementals (3.5); 
Essence of the Raptor; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Essentia Lock; Abjuration; yes; yes; no; yes; yes; no; Magic of Incarnum; Supplementals (3.5); 
Estanna's Stew; Conjuration; yes; yes; no; yes; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Eternity of Torture; Necromancy; yes; yes; no; no; yes; no; Book of Vile Darkness; Supplementals (3.0); 
Ether Blast; Abjuration; yes; yes; yes; no; no; no; Manual of the Planes; Supplementals (3.0); 
Ethereal Alarm; Abjuration; no; no; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Ethereal Breath; Transmutation; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Ethereal Breath; Transmutation; no; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Ethereal Chamber; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Ethereal Jaunt; Transmutation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Ethereal Mount; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Ethereal Mount; Conjuration; yes; yes; no; no; no; no; Manual of the Planes; Supplementals (3.0); 
Etherealness; Transmutation; no; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Etherealness, Swift; Transmutation; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Evacuation Rune; Conjuration; yes; yes; yes; no; no; no; Complete Scoundrel; Supplementals (3.5); 
Evard's Black Tentacles; Conjuration; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Evard's Menacing Tentacles; Transmutation; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Evergreen; Transmutation; yes; yes; no; no; yes; no; Frostburn; Supplementals (3.5); 
Evil Eye; Enchantment; no; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Evil Glare; Necromancy; yes; yes; no; no; yes; no; Planar Handbook; Supplementals (3.5); 
Evil Glare; Necromancy; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Evil Weather; Conjuration; yes; yes; yes; no; no; yes; Book of Vile Darkness; Supplementals (3.0); 
Exacting Shot; Transmutation; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Exacting Shot; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Exalted Fury; Evocation; yes; no; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Exalted Raiment; Abjuration; yes; no; no; no; yes; no; Book of Exalted Deeds; Supplementals (3.5); 
Excavate; Transmutation; yes; yes; yes; no; no; no; Underdark; Forgotten Realms (3.5); 
Excavate; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Execration; Necromancy; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Exorcism; Abjuration; yes; yes; yes; no; yes; no; Fiendish Codex I: Hordes of the Abyss; Supplementals (3.5); 
Exorcism of Steel; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Expeditious Retreat; Transmutation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Expeditious Retreat, Swift; Transmutation; yes; no; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Expeditious Retreat, Swift; Transmutation; yes; no; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Expeditious Retreat, Swift; Transmutation; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
